COLOR_GrasSurface
N045.21.27.580 E005.19.57.894
N045.21.27.516 E005.19.57.611
N045.21.27.252 E005.19.57.763
N045.21.27.338 E005.19.58.057

COLOR_Building
N045.21.28.006 E005.19.59.048
N045.21.27.659 E005.19.59.264
N045.21.27.727 E005.19.59.506
N045.21.27.471 E005.19.59.643
N045.21.27.798 E005.20.00.893
N045.21.28.426 E005.20.00.540

COLOR_Building
N045.21.28.205 E005.20.00.788
N045.21.28.490 E005.20.01.802
N045.21.28.676 E005.20.01.676
N045.21.28.587 E005.20.01.360
N045.21.29.178 E005.20.01.051
N045.21.29.294 E005.20.01.039
N045.21.29.377 E005.20.01.261
N045.21.29.547 E005.20.01.151
N045.21.29.506 E005.20.00.927
N045.21.29.731 E005.20.00.772
N045.21.29.853 E005.20.00.689
N045.21.29.813 E005.20.00.517
N045.21.29.880 E005.20.00.443
N045.21.29.842 E005.20.00.330
N045.21.29.768 E005.20.00.343
N045.21.29.717 E005.20.00.205
N045.21.29.607 E005.20.00.235
N045.21.29.549 E005.19.59.982
N045.21.29.002 E005.20.00.285
N045.21.29.079 E005.20.00.553
N045.21.28.819 E005.20.00.694
N045.21.28.865 E005.20.00.925
N045.21.28.517 E005.20.01.061
N045.21.28.396 E005.20.00.669

COLOR_Building
N045.21.31.037 E005.19.57.054
N045.21.30.993 E005.19.57.004
N045.21.30.956 E005.19.56.937
N045.21.30.930 E005.19.56.860
N045.21.30.935 E005.19.56.763
N045.21.30.958 E005.19.56.648
N045.21.30.515 E005.19.56.335
N045.21.30.446 E005.19.56.609
N045.21.30.477 E005.19.57.026
N045.21.30.567 E005.19.57.352
N045.21.30.704 E005.19.57.573
N045.21.30.912 E005.19.57.720
N045.21.31.080 E005.19.57.059

COLOR_Building
N045.21.30.541 E005.19.53.735
N045.21.30.607 E005.19.54.080
N045.21.30.806 E005.19.53.975
N045.21.30.710 E005.19.53.641

COLOR_Building
N045.21.31.962 E005.19.53.754
N045.21.32.378 E005.19.53.456
N045.21.33.905 E005.19.52.631
N045.21.33.996 E005.19.52.499
N045.21.33.840 E005.19.51.943
N045.21.33.723 E005.19.51.997
N045.21.32.819 E005.19.52.464
N045.21.32.203 E005.19.52.802
N045.21.32.223 E005.19.52.884
N045.21.32.069 E005.19.52.987
N045.21.32.018 E005.19.52.865
N045.21.31.556 E005.19.53.131
N045.21.31.709 E005.19.53.842

COLOR_Building
N045.21.32.673 E005.19.53.310
N045.21.32.745 E005.19.53.507
N045.21.33.052 E005.19.53.347
N045.21.32.992 E005.19.53.110

COLOR_Building
N045.21.33.952 E005.19.52.747
N045.21.33.715 E005.19.52.856
N045.21.33.532 E005.19.52.966
N045.21.33.544 E005.19.53.024
N045.21.33.355 E005.19.53.128
N045.21.33.434 E005.19.53.443
N045.21.33.614 E005.19.53.355
N045.21.33.809 E005.19.53.248
N045.21.34.041 E005.19.53.139

COLOR_Building
N045.21.35.677 E005.19.51.205
N045.21.35.854 E005.19.51.865
N045.21.36.863 E005.19.51.319
N045.21.36.621 E005.19.50.440
N045.21.35.980 E005.19.50.750
N045.21.36.032 E005.19.51.003

COLOR_Building
N045.21.34.800 E005.19.52.388
N045.21.34.862 E005.19.52.582
N045.21.35.179 E005.19.52.345
N045.21.35.116 E005.19.52.173

COLOR_Building
N045.21.35.335 E005.19.53.398
N045.21.35.591 E005.19.53.430
N045.21.35.599 E005.19.52.668
N045.21.35.344 E005.19.52.690

COLOR_Building
N045.21.38.004 E005.19.50.287
N045.21.37.764 E005.19.50.280
N045.21.37.764 E005.19.50.483
N045.21.37.069 E005.19.50.480
N045.21.37.056 E005.19.50.992
N045.21.37.743 E005.19.50.988
N045.21.37.746 E005.19.51.230
N045.21.37.997 E005.19.51.233

COLOR_Building
N045.21.37.493 E005.19.53.179
N045.21.37.505 E005.19.52.231
N045.21.36.865 E005.19.52.234
N045.21.36.874 E005.19.51.535
N045.21.36.151 E005.19.51.921
N045.21.36.151 E005.19.52.153
N045.21.35.936 E005.19.52.153
N045.21.35.941 E005.19.52.415
N045.21.35.752 E005.19.52.421
N045.21.35.746 E005.19.53.924
N045.21.35.739 E005.19.57.922
N045.21.36.845 E005.19.57.934
N045.21.36.853 E005.19.54.421
N045.21.37.202 E005.19.54.421
N045.21.37.185 E005.19.57.075
N045.21.37.946 E005.19.57.064
N045.21.37.994 E005.19.53.490
N045.21.37.310 E005.19.53.514
N045.21.37.308 E005.19.53.943
N045.21.37.079 E005.19.53.948
N045.21.37.077 E005.19.53.415
N045.21.37.172 E005.19.53.409
N045.21.37.172 E005.19.53.180

COLOR_Building
N045.21.35.923 E005.19.57.902
N045.21.35.926 E005.19.58.901
N045.21.35.991 E005.19.58.906
N045.21.36.003 E005.19.59.179
N045.21.36.455 E005.19.59.189
N045.21.36.457 E005.19.59.476
N045.21.37.106 E005.19.59.481
N045.21.37.120 E005.20.01.239
N045.21.37.296 E005.20.01.251
N045.21.37.298 E005.20.01.543
N045.21.37.776 E005.20.01.537
N045.21.37.795 E005.20.00.014
N045.21.38.021 E005.20.00.012
N045.21.38.024 E005.19.59.289
N045.21.37.924 E005.19.59.292
N045.21.37.926 E005.19.59.134
N045.21.37.964 E005.19.59.131
N045.21.37.965 E005.19.57.874
N045.21.37.313 E005.19.57.856
N045.21.37.321 E005.19.57.309
N045.21.37.091 E005.19.57.310
N045.21.37.086 E005.19.57.630
N045.21.36.996 E005.19.57.693
N045.21.36.933 E005.19.57.712
N045.21.36.877 E005.19.57.706
N045.21.36.838 E005.19.57.654

COLOR_Building
N045.22.02.498 E005.19.48.515
N045.22.02.228 E005.19.48.518
N045.22.02.221 E005.19.48.926
N045.22.02.502 E005.19.48.946

COLOR_Building
N045.22.01.851 E005.19.45.634
N045.22.01.178 E005.19.45.664
N045.22.01.156 E005.19.48.531
N045.22.01.830 E005.19.48.546

COLOR_Building
N045.22.01.337 E005.19.44.743
N045.22.01.332 E005.19.44.973
N045.22.01.503 E005.19.44.959
N045.22.01.508 E005.19.44.717

COLOR_Building
N045.22.02.506 E005.19.50.215
N045.22.01.133 E005.19.50.209
N045.22.01.144 E005.19.53.388
N045.22.01.729 E005.19.53.370
N045.22.01.728 E005.19.53.125
N045.22.02.007 E005.19.53.131
N045.22.01.999 E005.19.52.672
N045.22.02.323 E005.19.52.674
N045.22.02.312 E005.19.52.181
N045.22.02.129 E005.19.52.182
N045.22.02.133 E005.19.52.006
N045.22.02.505 E005.19.52.022

COLOR_Building
N045.22.01.053 E005.19.52.657
N045.22.00.642 E005.19.52.688
N045.22.00.628 E005.19.53.351
N045.22.01.053 E005.19.53.340

COLOR_Building
N045.22.01.134 E005.19.55.548
N045.22.00.481 E005.19.55.574
N045.22.00.475 E005.19.58.986
N045.22.00.738 E005.19.58.974
N045.22.00.750 E005.19.58.461
N045.22.00.792 E005.19.58.451
N045.22.00.791 E005.19.58.520
N045.22.01.038 E005.19.58.519
N045.22.01.042 E005.19.58.448
N045.22.01.135 E005.19.58.432

COLOR_Building
N045.22.01.114 E005.20.00.390
N045.22.00.464 E005.20.00.405
N045.22.00.452 E005.20.03.315
N045.22.01.119 E005.20.03.310

COLOR_Building
N045.21.35.758 E005.20.18.745
N045.21.35.059 E005.20.18.719
N045.21.34.996 E005.20.21.085
N045.21.34.680 E005.20.21.077
N045.21.34.546 E005.20.26.737
N045.21.35.586 E005.20.26.751

COLOR_Building
N045.21.35.885 E005.20.30.413
N045.21.34.568 E005.20.30.393
N045.21.34.557 E005.20.33.267
N045.21.35.860 E005.20.33.289

COLOR_Stopbar
N045.21.42.262 E005.18.36.118
N045.21.42.190 E005.18.36.185
N045.21.42.584 E005.18.37.129
N045.21.42.652 E005.18.37.063

COLOR_Stopbar
N045.21.42.508 E005.18.59.969
N045.21.42.415 E005.18.59.929
N045.21.42.421 E005.19.01.193
N045.21.42.503 E005.19.01.149

COLOR_Stopbar
N045.21.43.342 E005.19.57.120
N045.21.43.252 E005.19.57.123
N045.21.43.248 E005.19.58.048
N045.21.43.338 E005.19.58.051

COLOR_Stopbar
N045.21.43.299 E005.20.17.970
N045.21.43.218 E005.20.17.965
N045.21.43.193 E005.20.19.027
N045.21.43.279 E005.20.19.033

COLOR_Stopbar
N045.21.41.955 E005.20.54.128
N045.21.41.895 E005.20.54.057
N045.21.41.408 E005.20.54.959
N045.21.41.475 E005.20.55.030

COLOR_Stopbar
N045.21.49.777 E005.20.12.134
N045.21.49.708 E005.20.12.204
N045.21.49.880 E005.20.12.852
N045.21.49.974 E005.20.12.867

COLOR_Stopbar
N045.21.50.987 E005.19.54.370
N045.21.50.983 E005.19.54.445
N045.21.50.942 E005.19.54.487
N045.21.51.107 E005.19.54.856
N045.21.51.181 E005.19.54.793

COLOR_Stopbar
N045.21.42.226 E005.19.46.678
N045.21.42.220 E005.19.47.237
N045.21.42.254 E005.19.47.239
N045.21.42.260 E005.19.46.681

COLOR_Stopbar
N045.21.42.359 E005.19.07.124
N045.21.42.351 E005.19.06.402
N045.21.42.319 E005.19.06.404
N045.21.42.328 E005.19.07.127
